ISBN,comment,uid,username
 9787229042066,他们说，读完这套书以后，再抬头看星空感觉就不一样了。嗯，是这样的。,-1,xiaohanyu
 9787229042066,从恒星天线到智子封锁，从黑暗森林到维度打击。全书从文革女愤青拉出引子，战线一直扩大，大刘用他的想象给我们构建了一个新的宇宙。第一部从人性的角度出发，分出了那种救世的豪情与灭世的激愤。第二部放眼全宇宙，地球上的纷纷扰扰已经满足不了大刘的胃口，把博弈的战场放到全宇宙，当罗辑站在墓碑前与三体星人对决时，那一句「住手！」，积累了一本书的悬念一下子倾泻而出，实在让人大呼过瘾。第三部继续回到人性的视角，当全人...,-1,鸟飞
 9787229042066,这么个硬核的科幻是怎么装下了程心这朵白莲花婆娘的…,-1,Manta
 9787229042066,第一部有点沉重，第二部荒诞风，第三部叫矫情圣母婊的故事,-1,不怕不怕嘛
 9787229042066,不排除我孤陋寡闻，但三体真的是目前为止我看到的世界观最大且合理的故事，甚至是宇宙观。深深的体会到什么是沧海之一粟，绝对的伟大作品,-1,Narcissuskun
 9787513342094,"前两年看过繁中版,非常喜欢。没想到简中一出就有人嫌出版社请人刷高分,特意打一星“找平衡”?！还说读完了确实好再来改分。好笑哦，这部作品的繁中版分数就不低,不需要这样的好心人来维持大局吧。",-1,躲猫猫社团
 9787513342094,第一次觉得书腰上的推荐没有夸大其词，绝对可以和三巨头最优秀的作品，和拉玛有相似的味道，但是更贴近人类本身更有想象力。看作者履历没有搞过科研，但是却很好的描述出了理想的科研历程，不预设立场，发现谜面，提出假设，寻找矛盾，修正假说，得出结论，一环扣一环，从月球上的尸体，逐步揭开了作者设想的世界真相，十分过瘾，阅读起来也非常流畅。另外成书很早，书中的世界先进又落后，能玩核子炸弹上太空却还在用幻灯片，也是...,-1,bz
 9787513342094,到中间才开始渐入佳境，后面就没有不吸引人的地方了，结尾也结的很完美。不过现在的分确实高了，大概8.5～9比较合适，平衡一下,-1,秃涂土兔
 9787513342094,给自己做的书写评，内心激动又复杂。这套书是“金句艺术家”兴海推荐的。没想到自己竟会对一具“绝不可能存在，但又确实存在的人类尸体”着了迷，立马跟进，一读就停不下来。后来我开始跟着雪姐参与选题申报，看着版权拿下来、稿子派出去。然后，我就怀孕了。临产前不久，第一部的译稿回来了，本以为会这样擦肩而过，没想到雪姐坚持等我回来再做（泪目）。五个月后我终于回归，开始一校、后续制作。整个过程是令人亢奋的，逢人就想...,-1,特夫威斯
 9787513342094,如果你是黄金时代科幻的爱好者，读完了所有能找到的阿西莫夫，克拉克，海因莱因和大刘，那么你也一定会喜欢这本《星之继承者》。毫无疑问它继承了黄金年代科幻的风骨，昂扬向上的宇宙探索精神在现在这个赛博朋克的年代可以说是不多见的。同时，从月球上的一具五万年前的人类尸骨开始，缜密的情节安排和悬念设置，绝对能够勾引你一口气把它读完。唯一的美中不足可能只是作为重度科幻迷而言这个谜底并不新鲜（笑）。总之，《星之继承...,-1,思故渊
 9787536692930,我觉得我这个人啊，太文科了，读不出快感来，只读到恐惧感来。但作者和他的情怀，超过五星。,-1,李荷西
 9787536692930,我看之前接收到了很多关于【神作】【中国第一科幻作品】之类的信息，所以可能让我怀抱的希望太大。这个作品的部分主干的逻辑我是很同意的，但是抛弃掉这些主干逻辑和科幻的外表以后，主要人物和描写手法，都有点像【一点点】非常大流的玄幻文。ps男性科幻作者假如能放弃描写女性，放弃描写科幻爱情的话，那才是中国科幻的春天。,-1,姨妈的鸭
 9787536692930,终于正式全部看完了，终于可以正式表示不好看。。。,-1,時代抗疫totoro
 9787536692930,流水账似的科幻小说。作者的文字能力、人物塑造能力和想象力都很有限，思考也不深入，就是框架很宏大而已。,-1,蓝调共和
 9787536692930,"2014年评论：一流故事，三流文笔，慕名而读，感觉上当受骗了……

2021年收到了《三体》粉丝的辱骂豆油，文笔不行不能说？一粉顶十黑。“一流故事”是夸奖的话啊，希望粉丝学好小学语文再来骂战🙃

",-1,大萌
 9787549565115,看完了，只有一句话，草泥马我的心好痛。,-1,胖植物
 9787549565115,另人心碎的便匆名之路,-1,Agent Q
 9787549565115,黑暗不可怕，可怕的是见识过了光明又重归黑暗。“我不会忘记阅读那本淡蓝色封面的书的美好感觉”，这是我读过的的，对知识的最高，最真挚的礼赞，不含一丝矫揉造作和虚荣刻奇。总之，此生，知识与爱，都不可或缺。,-1,gin.
 9787549565115,受教育越多越容易自恃优越，这跟从网上看了些二手信息转头嘲笑他人无知也没啥区别，鄙视链这种东西不能当真，保持一颗开放谦卑的心，自勉～,-1,小洋葱
 9787549565115,飞机上看完的，然后在机舱一直哭。。。几年来看到的最好的小说。这被称为科幻小说，事实上科幻是形式，打动我们的还是人性。从不曾拥有和曾拥有全部然后眼睁睁失去到底哪个更令人无法忍受？,-1,白玉京
 9787229030933,罗辑逻辑强，史强身手棒；叶文洁爱挂灯笼，章北海忙细软跑；程心这玻璃心圣母小婊砸害死了那么多地球人，最后一秒还抢了闺蜜的男人，三体星人绝对是宇宙折返跑冠军，四五百年没干别的，就他妈忙着折返跑了。,-1,炸啦
 9787229030933,云天明心是有多大，到嘴边的老婆就这么拱手送人了？,-1,大島
 9787229030933,歌者，长老。这是最牛逼的角色,-1,鬼才是个处男呀
 9787229030933,再发奋学习也写不出三体来，再狂奔也追不上大刘一小手指甲。人生不用努力了，被大刘牌智子封锁了。,-1,修复的薄码.AVI
 9787229030933,1.刘慈欣，典型“爱女人的厌女症患者”，整整一部三体，就是个厌女症经典样本，从这个意义来说，哪怕作者的想象力已开阔到穿越宇宙、穿越未来，也穿不过性别成见的墙垣，被死死局限在方寸之地。2.角色塑造真灾难，全都是上帝型作者的提线木偶，没有自身的行为逻辑。尤其所有女性角色，每出场必少不了先对年轻美貌来一轮赞叹，不是芭比就是祸水。智子为可笑之最，是日式文化符号的机械堆砌：和服、圆髻、茶道、忍者服、武士刀…...,-1,匡匡
 9787536693968,1. 合上书不禁想到霍金反复强调不要像宇宙深处发出人类文明的信息，不幸的是我们一直乐于暴露自己的幼稚。2. 希望人类拥有足够的时间发展文明，将地球带入星际文明中，那一天地球文明将融入到更高级更为庞大的社会体系中，国家的概念，会随着文明升级慢慢淡化，但这天要非常之久。3. 三体系列带我入了科幻的门，下一个系列应该会是基地，或者海泊利安。大刘要是文笔再美一点就好了，但硬科幻或许不该要求这么高，已经足够...,-1,[已注销]
 9787536693968,真是很厉害的一本书，读到第二部的一半就已经有这种感觉了，那种缜密周全的逻辑、渊博纵横的学识和有意无意对当今人性和政治的嘲弄，还要架构在科幻的基础上，最后用相当扎实的专业知识像教科书一样掷地有声的罗列出来，我的天，这真的是缺乏想象力的当代中国人写出来的书吗？,-1,卜卜
 9787536693968,终于读完第二部《三体》，应该不会看第三部了。我的阅读体验可以用索然乏味来形容。,-1,闲人
 9787536693968,不理解庄颜这个角色的存在意义，纯粹的花瓶。她和逻辑浮夸烂俗的感情描写，对于罗辑最后发现和利用黑暗森林毫无关系。关于她的段落看着都如同嚼蜡，且微微反胃。刘慈欣在女性描写上真的很差，品味更差。黑暗森林理论也是个争议很大的点，不过我能接受，只要别遇到大刘粉丝和我认真谈这个……水滴全灭地球舰队是这本最大的亮点，压倒性科学优势下的战争。,-1,Roland
 9787536693968,刘老师应该请两名文学助手在旁边提词儿，“啊刘老师，‘平静如水的目光’还有这几种替代的说法.......”,-1,渍
 9787122346032,“从开始的地方开始，在结束的地方结束。”考虑到年代的确是非常厉害的作品，就很庄周梦蝶。（？）,-1,顾冰彻
 9787122346032,吹爆！妈妈问我为何跪着看书！难以置信这是1989年的作品 太太太超前了吧   放到现在也很超前  2019年度最佳了！[爱心][爱心],-1,Ruth-C
 9787122346032,谁也无法直接看见自己的眼睛，或许双瞳只存在于镜中？,-1,Worshipbai
 9787122346032,先不提《西部世界》早有这种沙盒意识，《神经流浪者》的赛博空间和pkd一大堆自我怀疑也放一边，作者这种事无巨细虚拟现实多神奇真实我还以为vr概念是作者原创的呢，无非就是一个基于缸中之脑的故事，短评都吹得让我以为是1889年写的了，不过日推也确实缺一本高逼格的小说撑撑台面，病急乱投医也正常。,-1,龟城摧塔客
 9787122346032,这种书读起来会让人有一丝痛苦，因为它让我明白世界上最好的那批作家到底有多厉害。,-1,夏日漱口
 9787569926910,日本烧脑科幻小说，将时间旅行与精神层面上的意识联系在一起，里面的手奈尔和血沼会不会是丈夫穿越回婴儿时期后改变的未来里的另一个人生？好似一部电影《前目的地》里剧情一样。真希望有大神对这本小说做个解析啊啊啊,-1,凤梨罐头
 9787569926910,给小林三泰跪下了！1996年的作品，放到2019年来读，竟然看得头皮发麻，不愧是SF当年封神之作，当代硬科幻大师！烧脑的剧情和极为缜密严谨的逻辑推理和物理科普，让人情不自禁地直呼一万个卧槽！看完这本书，我的三观彻底崩塌了，“因果关系本无因果关系，因果没有先后，没有区别”，“时间视觉障碍症”，“波函数坍缩”，“意识和时间的流变”，“意识的观测行为导致整个过去世界的确定”，每一项单独拿出来都细思极恐，...,-1,失马
 9787569926910,"钻石一样硬的科幻作品。
神经科学+时间旅行+量子力学，几大最夯的元素结合在一起，成就了这一部经典。
叙述的口吻也很有日式私小说的风采，相当有风味。",-1,tiiiiin
 9787569926910,不难懂，很生硬。虽然写了很多具体的实例，但根本不是设定的外延。,-1,norve
 9787569926910,概念还可以，但是故事本身、叙事技巧以及文笔都太糟糕了。,-1,萨库拉
 9787539957173,到底应该大力发展时空旅行将历史错误一一调整，还是发展星际穿越早日把过多的人类移民出去呢？太纠结了，还是当成爱情小说看比较美好，#我和你出生相隔十万个世纪，可是我们最终在20世纪携手到老，顺便改变了全人类的命运#。,-1,苏浅夏
 9787539957173,过于老的科幻简直无法阅读,-1,阅微草堂
 9787539957173,我不明白为什么有人读过之后会有深深的恐惧感，先不说书的结局是如此的光明和热血。仅就基础理念来讲，对于未来拥有无限种可能的选择权，难道不是人类为数不多可以称之为有价值的信念么？,-1,大师兄
 9787539957173,"看你们天天用『不会写爱情』来黑刘慈欣。
换了阿西莫夫还不是一样？
#无良索隐#",-1,科学的京兆眉妩
 9787539957173,全书的主旨是非常励志的：人类不能一昧地求安全和固步自封，必须向外开拓。不过一切变革的开端也很微妙：一场爱情颠覆了整个星球。恋人们的行为模式是永恒时空管理者们无法预见精确预见的，恰恰说明了整本书的基础不够牢靠：管理者们是如何挑选出来的？作为最不可控充满不确定性的人类，如何能被保证以不带感情色彩的机械性来决定那么多其他人的命运？这些点上无法说服人，永恒时空的建造和存在就没有可信度——太脆弱太容易被破坏...,-1,小克
 9787553520643,零维的点究竟是拥有了一切还是被一切所禁锢,-1,Théo
 9787553520643,本来想写点什么的，但是本书的译后记已经把我想表达和受限于表达能力而表达不出的东西都说出来了。读来很有跪感的书，又新增一本！,-1,Ghost Rider
 9787553520643,没有想到的是，在众多维度世界之中，令我最向往的竟然是一维空间的直线国，因为在直线国里，人们终其一生只能和左右两位邻居见面，而他们的求爱方式则是在101秒世界中的第51秒钟集体发出此生最优美的歌声，在整个宇宙的共振里去寻找与自己歌声完美呼应的对方，并在找到命中注定之人的那一瞬间立刻缔结婚姻，同时产下三个孩子，其中有男孩也有女孩，或许直线国的人们要花费其漫长的一生来搜寻另一半，或许也只需要进行一次大合...,-1,Ask
 9787553520643,"科幻大师艾萨克·阿西莫夫说：“若想理解维度，再没有比《平面国》更好的入门作品了。”
在理解维度的科学性以外，此书涵盖的理性与哲思也令我叹服：如何跳脱时代的局限，以及自身作为牧师的神学价值观，来完成这样一部纯理性的著作？实在难以想象。
看《三体》的时候对四维空间的想象印象深刻，却有些无法理解为什么三维的人进入四维器官都能够被透视，而在这本书中，二维的正方形被三维的球透视，让这样的想象有了理解的可能性...",-1,蒼山霧隱
 9787553520643,读第一部分时觉得无聊透顶，仅是有些让人感到想象力丰富，然而到了第二部分却是激流砯崖，令人拍案，对知识与未知产生神秘的向往。最后的译后记说本书写于1884年更是让我大呼佩服。,-1,Charles
 9787544756426,"翻译还是不好的，或者说，永远不会够好了
",-1,咯咯精
 9787544756426,“不要去想，只要去做。不要停下来从哲学高度思考。”因为那样只有一片虚无。,-1,萨库拉
 9787544756426,最后的译后记不要看啥玩意儿啊orz,-1,仓房
 9787544756426,怎么说呢，原著关于背叛自我认同的解读，对于真实和虚构界限的讨论，以及从道德伦理层面对存在的形式与意义进行的探讨，相比之下电影就像是被阉割后的残次品，而即便如此，都足以被排进科幻片的最高殿堂。此外，电影充满人文情怀地将故事改编成了一个人工智能变成人类的故事，但PKD本意绝非如此，他冷漠残忍地告诉读者，仿生人永远不会梦到电子羊。,-1,-
 9787544756426,关于存在本身，关于人类的终极意义，关于每个人都无法逃脱的永恒孤独，关于爱情里难以解释的狂喜与厌憎，和终究无法避免的死亡。,-1,忘我洗澡
 9787513343022,节奏明快，虽然已经看过记忆碎片，但还是觉得设定蛮有趣的，感觉男主和黄牙女人有点好嗑,-1,野草
 9787513343022,"好看！！！阅读速度奇慢的我第一次一上午就看完了一本200多页的小说！……所以那个女人到底是谁🤣
以下轻微剧透预警：

我有个奇怪的关注点就是……就算是正常人，一般也不愿卷进危险之中，何况主角有这个病，竟然因为不忍心看无辜的人受到伤害而主动牵涉进去，真是自愧不如……换我的话我只会因为恐惧躲得远远的……

以下严重剧透预警：



看到最后我开始觉得主角自以为自主做出的所有行为其实都在别人的操控之下…...",-1,无答之问
 9787513343022,貌似是一个开放式结局，不知道真相的我就和主角一样好痛苦,-1,Ivan Lee
 9787513343022,看完后果然脊背发凉。太可怕了，自此开始恐惧黄牙笑……,-1,遇事略略略
 9787513343022,天哪太可怕了，看前面的时候觉得一切都顺利着呢，我自己老懂了，什么都倍儿清楚，但是特么的看到最后一行我崩溃了！！！！这一切都是什么跟什么！？？！我的脑容量到了极限可不可以有个大神看完了咱们一起来吵一架啊！！！！！,-1,假现充瓜向前滚
